dataset,size,algorithm,avg_time_us,avg_char_comparisons
random,100,quick_sort,18.86,14134
random,100,merge_sort,47.25,601
random,100,ternary_string_quick_sort,3.14,774
random,100,lcp_string_merge_sort,166.06,492
random,100,msd_radix_sort,25.59,175
random,100,msd_radix_sort_with_quick_switch,11.00,246
random,200,quick_sort,40.60,31582
random,200,merge_sort,101.22,1493
random,200,ternary_string_quick_sort,6.84,1721
random,200,lcp_string_merge_sort,345.71,1149
random,200,msd_radix_sort,57.02,398
random,200,msd_radix_sort_with_quick_switch,21.55,622
random,300,quick_sort,57.45,47218
random,300,merge_sort,132.91,2523
random,300,ternary_string_quick_sort,9.65,2588
random,300,lcp_string_merge_sort,521.55,1895
random,300,msd_radix_sort,73.46,610
random,300,msd_radix_sort_with_quick_switch,33.83,1087
random,400,quick_sort,75.85,61208
random,400,merge_sort,185.86,3629
random,400,ternary_string_quick_sort,13.98,3802
random,400,lcp_string_merge_sort,672.39,2637
random,400,msd_radix_sort,82.33,825
random,400,msd_radix_sort_with_quick_switch,46.09,1602
random,500,quick_sort,87.14,70747
random,500,merge_sort,249.85,4818
random,500,ternary_string_quick_sort,17.06,4745
random,500,lcp_string_merge_sort,793.66,3418
random,500,msd_radix_sort,94.98,1040
random,500,msd_radix_sort_with_quick_switch,50.40,2168
random,600,quick_sort,104.58,89288
random,600,merge_sort,256.39,6099
random,600,ternary_string_quick_sort,18.36,6010
random,600,lcp_string_merge_sort,914.19,4328
random,600,msd_radix_sort,103.67,1261
random,600,msd_radix_sort_with_quick_switch,56.60,2706
random,700,quick_sort,126.60,102121
random,700,merge_sort,329.88,7398
random,700,ternary_string_quick_sort,24.43,7850
random,700,lcp_string_merge_sort,1024.58,5169
random,700,msd_radix_sort,116.39,1478
random,700,msd_radix_sort_with_quick_switch,63.03,3370
random,800,quick_sort,123.58,126815
random,800,merge_sort,340.60,8771
random,800,ternary_string_quick_sort,27.44,9318
random,800,lcp_string_merge_sort,1186.48,6057
random,800,msd_radix_sort,149.51,1708
random,800,msd_radix_sort_with_quick_switch,88.16,3871
random,900,quick_sort,159.03,142685
random,900,merge_sort,431.04,10186
random,900,ternary_string_quick_sort,29.78,9694
random,900,lcp_string_merge_sort,1324.05,6971
random,900,msd_radix_sort,172.99,1929
random,900,msd_radix_sort_with_quick_switch,99.58,4527
random,1000,quick_sort,184.92,157362
random,1000,merge_sort,491.84,11557
random,1000,ternary_string_quick_sort,39.53,10289
random,1000,lcp_string_merge_sort,1671.20,7786
random,1000,msd_radix_sort,194.87,2165
random,1000,msd_radix_sort_with_quick_switch,112.52,5231
random,1100,quick_sort,196.74,169479
random,1100,merge_sort,553.08,13025
random,1100,ternary_string_quick_sort,43.53,12817
random,1100,lcp_string_merge_sort,1867.34,8758
random,1100,msd_radix_sort,211.37,2390
random,1100,msd_radix_sort_with_quick_switch,127.69,5922
random,1200,quick_sort,234.97,185168
random,1200,merge_sort,592.81,14517
random,1200,ternary_string_quick_sort,40.88,16450
random,1200,lcp_string_merge_sort,1625.82,9714
random,1200,msd_radix_sort,188.82,2630
random,1200,msd_radix_sort_with_quick_switch,109.60,6770
random,1300,quick_sort,198.23,201677
random,1300,merge_sort,541.95,16034
random,1300,ternary_string_quick_sort,42.73,14751
random,1300,lcp_string_merge_sort,1788.97,10707
random,1300,msd_radix_sort,203.74,2863
random,1300,msd_radix_sort_with_quick_switch,119.54,7442
random,1400,quick_sort,220.30,215669
